FLIGHT_IDENTIFIER,ARRIVAL_EPOCH,ARRIVAL_DELAY
N755SAHOUTPA23668820,23668936.0,1.0
N218WNMCIDAL23668840,23668936.0,6.0
N8641BJAXBWI23668830,23668936.0,1.0
N443WNFLLSJU23668790,23668936.0,-14.0
N8319FMCOBWI23668825,23668937.0,-18.0
N560WNOKCSTL23668865,23668937.0,-18.0
N523SWHOUAUS23668895,23668937.0,-8.0
N237WNMCOALB23668780,23668939.0,-1.0
N216WRIADMDW23668820,23668939.0,-1.0
N8633ABWIMCO23668800,23668939.0,-1.0
N718SWBOIOAK23668850,23668939.0,-16.0
N400WNMCOFNT23668785,23668940.0,-5.0
N948WNELPLAS23668845,23668941.0,-14.0
N8611FSEAMDW23668710,23668941.0,-9.0
N616SWHOUIND23668810,23668942.0,2.0
N8325DHOULAX23668735,23668942.0,-18.0
N927WNINDMCI23668850,23668942.0,-3.0
N624SWSJCLAS23668865,23668943.0,-2.0
N604SWMCODAY23668810,23668943.0,-2.0
N734SAELPPHX23668860,23668943.0,3.0
N965WNPDXMDW23668715,23668944.0,-6.0
N781WNDCABNA23668830,23668944.0,-11.0
N656SWDALABQ23668820,23668944.0,14.0
N768SWSFOATL23668680,23668944.0,-16.0
N7746CMDWLAS23668710,23668944.0,-11.0
N652SWDALELP23668840,23668945.0,0.0
N622SWRDUATL23668870,23668945.0,-10.0
N495WNBNABOS23668820,23668946.0,-19.0
N8654BRSWMDW23668775,23668946.0,-4.0
N408WNPHLMCO23668800,23668946.0,-14.0
N8642ESTLMCO23668825,23668946.0,-14.0
N939WNFLLISP23668775,23668946.0,1.0
N932WNCLTHOU23668775,23668946.0,-9.0
N928WNDALLAX23668750,23668947.0,-8.0
N486WNMEMMCO23668835,23668947.0,2.0
N959WNDCARSW23668800,23668947.0,-18.0
N936WNHOUFLL23668820,23668947.0,-13.0
N8652BHOUHRL23668890,23668947.0,-3.0
N704SWCHSHOU23668785,23668947.0,-3.0
N482WNBUROAK23668875,23668948.0,3.0
N934WNLASSFO23668875,23668949.0,-21.0
N252WNLAXDAL23668780,23668949.0,-1.0
N268WNFLLMDW23668760,23668949.0,-6.0
N760SWBOSMDW23668780,23668950.0,-10.0
N435WNBUFPHX23668610,23668950.0,25.0
N761RRPITLAS23668605,23668950.0,35.0
N205WNOAKPDX23668860,23668950.0,-10.0
N291WNDALAUS23668865,23668950.0,35.0
N345SAPWMBWI23668860,23668951.0,-9.0
N298WNBHMMDW23668850,23668951.0,-14.0
N224WNDENATL23668790,23668952.0,-3.0
N670SWHOUABQ23668825,23668952.0,-3.0
N362SWDENTUL23668860,23668952.0,2.0
N433LVSTLHOU23668815,23668953.0,8.0
N746SWFLLTPA23668895,23668954.0,-6.0
N758SWRSWATL23668845,23668954.0,4.0
N709SWABQPHX23668855,23668955.0,25.0
N555LVSJCSNA23668885,23668955.0,-5.0
N740SWBOIGEG23668890,23668955.0,-5.0
N7718BBNADCA23668875,23668955.0,-20.0
N372SWDENSFO23668810,23668955.0,-20.0
N795SWTUSMDW23668755,23668955.0,0.0
N645SWMCOMHT23668780,23668956.0,6.0
N289CTTULDEN23668860,23668956.0,-14.0
N294WNMDWCLT23668855,23668957.0,-3.0
N367SWRDUMCO23668870,23668958.0,-12.0
N7713ALASSLC23668870,23668958.0,8.0
N684WNDENMCI23668870,23668958.0,-2.0
N219WNHOUSNA23668755,23668958.0,-17.0
N206WNDALDCA23668800,23668958.0,-7.0
N611SWFLLIND23668790,23668958.0,-2.0
N449WNDTWBWI23668880,23668958.0,-12.0
N741SABWIABQ23668645,23668960.0,35.0
N239WNMCOBHM23668860,23668960.0,5.0
N295WNLASSNA23668910,23668961.0,-14.0
N8646BRDUBWI23668905,23668961.0,-4.0
N466WNATLMCO23668885,23668963.0,-7.0
N273WNTPAAUS23668800,23668963.0,3.0
N378SWMDWMCI23668865,23668964.0,14.0
N7727AHOUPIT23668810,23668964.0,-1.0
N7724ABUFBWI23668900,23668965.0,-5.0
N7704BRNOLAS23668885,23668965.0,5.0
N490WNSANSEA23668800,23668965.0,-10.0
N233LVDALATL23668855,23668965.0,-10.0
N480WNBWIBUF23668885,23668965.0,15.0
N774SWMDWDCA23668875,23668966.0,-9.0
N391SWSLCMDW23668755,23668966.0,16.0
N783SWBWIMKE23668835,23668967.0,7.0
N685SWJAXATL23668775,23668967.0,122.0
N8313FDENMDW23668815,23668967.0,12.0
N522SWDALOKC23668920,23668967.0,-3.0
N379SWABQMDW23668800,23668968.0,13.0
N7711NHOUMSY23668910,23668968.0,-2.0
N388SWMDWSTL23668920,23668968.0,-17.0
N7732AINDFLL23668825,23668968.0,-12.0
N7709ABNAPHX23668725,23668968.0,-2.0
N432WNOAKBUR23668910,23668969.0,-6.0
N8653ABNABWI23668885,23668970.0,-15.0
N7750ABURSJC23668915,23668970.0,-10.0
N7708ERSWDCA23668835,23668971.0,-4.0
N527SWDALMSY23668900,23668971.0,-9.0
N610WNTPABDL23668810,23668971.0,1.0
N508SWHOUDAL23668920,23668971.0,-4.0
N445WNSMFSEA23668865,23668971.0,-4.0
N923WNSNASJC23668905,23668971.0,-9.0
N477WNLAXBNA23668760,23668971.0,-19.0
N8625AMDWPHX23668730,23668971.0,-4.0
N918WNRNOSAN23668815,23668972.0,62.0
N7707CSANBWI23668700,23668972.0,-23.0
N557WNPHXLAX23668880,23668972.0,12.0
N7730ASMFSAN23668885,23668973.0,3.0
N737JWOAKHOU23668745,23668973.0,8.0
N947WNSLCDEN23668895,23668974.0,-11.0
N8602FHOULAS23668780,23668974.0,-6.0
N8620HSDFDEN23668795,23668974.0,-11.0
N8618NSATHOU23668880,23668974.0,44.0
N788SAOMASTL23668920,23668975.0,-10.0
N253WNBWIFLL23668830,23668975.0,-10.0
N429WNATLSFO23668670,23668975.0,-25.0
N735SALASSJC23668905,23668976.0,-14.0
N204WNDENBWI23668785,23668976.0,-4.0
N340LVMHTBWI23668865,23668976.0,16.0
N8604KCLEMDW23668910,23668976.0,-9.0
N525SWCRPHOU23668935,23668977.0,-8.0
N8605EBWIMDW23668850,23668977.0,2.0
N7747CABQLAX23668845,23668977.0,2.0
N638SWTULDAL23668920,23668978.0,-2.0
N717SAMDWPHL23668890,23668978.0,-22.0
N779SWLGAATL23668830,23668979.0,-21.0
